Iy,PF,e,dIf,If
3,66,34,383,1563
3,68,32,372,1552
3,7,3,36,154
3,72,28,338,1518
3,74,26,317,1497
3,76,24,301,1481
3,78,22,29,147
3,8,2,28,146
3,82,18,25,143
3,84,16,221,1401
3,86,14,192,1372
3,88,12,165,1345
3,9,1,138,1318
3,92,8,98,1278
3,94,6,57,1237
3,96,4,37,1217
3,98,2,37,1217
3,1,0,37,1217
31,66,34,397,1577
31,68,32,414,1594
31,7,3,442,1622
31,72,28,369,1549
31,74,26,385,1565
31,76,24,31,149
31,78,22,325,1505
31,8,2,349,1529
31,82,18,27,145
31,84,16,277,1457
31,86,14,193,1373
31,88,12,2,138
31,9,1,216,1396
31,92,8,118,1298
31,94,6,124,1304
31,96,4,139,1319
31,98,2,139,1319
31,1,0,139,1319
32,66,34,393,1573
32,68,32,409,1589
32,7,3,436,1616
32,72,28,361,1541
32,74,26,377,1557
32,76,24,306,1486
32,78,22,318,1498
32,8,2,338,1518
32,82,18,258,1438
32,84,16,266,1446
32,86,14,183,1363
32,88,12,189,1369
32,9,1,202,1382
32,92,8,102,1282
32,94,6,11,129
32,96,4,118,1298
32,98,2,118,1298
32,1,0,118,1298
33,66,34,389,1569
33,68,32,405,1585
33,7,3,43,161
33,72,28,355,1535
33,74,26,369,1549
33,76,24,303,1483
33,78,22,312,1492
33,8,2,328,1508
33,82,18,25,143
33,84,16,255,1435
33,86,14,174,1354
33,88,12,181,1361
33,9,1,188,1368
33,92,8,91,1271
33,94,6,95,1275
33,96,4,98,1278
33,98,2,98,1278
33,1,0,98,1278
34,66,34,385,1565
34,68,32,402,1582
34,7,3,424,1604
34,72,28,345,1525
34,74,26,361,1541
34,76,24,299,1479
34,78,22,306,1486
34,8,2,317,1497
34,82,18,238,1418
34,84,16,245,1425
34,86,14,164,1344
34,88,12,17,135
34,9,1,174,1354
34,92,8,74,1254
34,94,6,8,126
34,96,4,77,1257
34,98,2,77,1257
34,1,0,77,1257
35,66,34,372,1552
35,68,32,395,1575
35,7,3,418,1598
35,72,28,328,1508
35,74,26,349,1529
35,76,24,285,1465
35,78,22,296,1476
35,8,2,306,1486
35,82,18,216,1396
35,84,16,225,1405
35,86,14,142,1322
35,88,12,151,1331
35,9,1,16,134
35,92,8,45,1225
35,94,6,52,1232
35,96,4,56,1236
35,98,2,56,1236
35,1,0,56,1236
36,66,34,457,1637
36,68,32,476,1656
38,92,8,112,1292
38,94,6,116,1296
38,96,4,119,1299
38,98,2,119,1299
38,1,0,119,1299
37,92,8,123,1303
37,94,6,131,1311
36,92,8,14,132
37,96,4,14,132
37,98,2,14,132
37,1,0,14,132
36,94,6,146,1326
36,96,4,162,1342
36,98,2,162,1342
36,1,0,162,1342
38,86,14,2,138
37,86,14,21,139
38,88,12,21,139
36,86,14,22,14
37,88,12,221,1401
38,9,1,222,1402
36,88,12,235,1415
37,9,1,241,1421
36,9,1,261,1441
38,82,18,287,1467
37,82,18,295,1475
38,84,16,299,1479
36,82,18,307,1487
37,84,16,311,1491
36,84,16,322,1502
38,76,24,345,1525
37,76,24,353,1533
36,76,24,361,1541
38,78,22,361,1541
37,78,22,367,1547
36,78,22,377,1557
38,8,2,383,1563
37,8,2,395,1575
36,8,2,406,1586
38,72,28,412,1592
37,72,28,419,1599
36,72,28,427,1607
38,74,26,427,1607
37,74,26,436,1616
39,66,34,444,1624
36,74,26,445,1625
38,66,34,449,1629
37,66,34,453,1633
39,68,32,462,1642
38,68,32,466,1646
37,68,32,47,165
39,7,3,486,1666
38,7,3,492,1672
37,7,3,499,1679
36,7,3,505,1685
39,72,28,402,1582
39,74,26,418,1598
39,76,24,337,1517
39,78,22,353,1533
39,8,2,372,1552
39,82,18,274,1454
39,84,16,288,1468
4,92,8,64,1244
4,94,6,72,1252
4,96,4,76,1256
4,98,2,76,1256
4,1,0,76,1256
39,92,8,95,1275
39,96,4,97,1277
39,98,2,97,1277
39,1,0,97,1277
39,94,6,1,128
41,92,8,162,1342
4,86,14,165,1345
41,94,6,168,1348
4,88,12,174,1354
4,9,1,183,1363
41,96,4,184,1364
41,98,2,184,1364
41,1,0,184,1364
39,86,14,19,137
39,88,12,197,1377
39,9,1,202,1382
4,82,18,25,143
41,86,14,263,1443
4,84,16,27,145
41,88,12,278,1458
41,9,1,308,1488
4,76,24,317,1497
4,78,22,338,1518
4,8,2,36,154
41,82,18,361,1541
41,84,16,378,1558
4,72,28,383,1563
4,74,26,406,1586
41,76,24,418,1598
4,66,34,43,161
41,78,22,436,1616
4,68,32,455,1635
41,8,2,467,1647
4,7,3,479,1659
41,72,28,489,1669
41,74,26,508,1688
